OBJECTID;date_;time_value_ms;time_uncertainty;latitude_value;longitude_value;depth_value;magnitude_value_M;quality_associatedPhaseCount;quality_usedPhaseCount;quality_associatedStationCount;quality_usedStationCount;quality_standardError;quality_azimuthalGap;quality_maximumDistance;quality_minimumDistance;quality_medianDistance;Tiempo
71;17/4/16 04:35;951.868.000.000.000.000.000;0.400463100000000;-0.498846230000000;-80.256.698.610.000.000;7.735.898.490.000.000;3.691.381.720.000.000;60.000.000.000.000.000;60.000.000.000.000.000;60.000.000.000.000.000;60.000.000.000.000.000;0.934945970000000;125.008.178.700.000.000;2.727.873.800.000.000;0.205029590000000;2.002.027.030.000.000;17/4/16 04:35
72;17/4/16 05:01;596.436.000.000.000.000.000;0.254710960000000;-0.428002600000000;-79.642.013.550.000.000;9.354.287.149.999.990;3.526.204.190.000.000;60.000.000.000.000.000;60.000.000.000.000.000;59.000.000.000.000.000;59.000.000.000.000.000;1.241.127.960.000.000;145.369.384.800.000.000;2.171.348.810.000.000;0.212555740000000;1.455.742.240.000.000;17/4/16 05:01
73;17/4/16 05:28;928.082.000.000.000.000.000;0.616480990000000;-0.150571550000000;-80.586.898.800.000.000;5.410.641.670.000.000;4.095.371.290.000.000;93.000.000.000.000.000;91.000.000.000.000.000;90.000.000.000.000.000;88.000.000.000.000.000;0.939497430000000;207.473.575.600.000.000;3.640.730.140.000.000;0.395912860000000;2.271.226.170.000.000;17/4/16 05:28
74;17/4/16 05:42;652.021.000.000.000.000.000;0.606440770000000;0.348202110000000;-80.458.786.009.999.800;5.459.330.080.000.000;4.817.976.980.000.000;106.000.000.000.000.000;103.000.000.000.000.000;101.000.000.000.000.000;98.000.000.000.000.000;0.921332580000000;219.156.189.000.000.000;3.991.903.310.000.000;0.488553380000000;2.277.116.300.000.000;17/4/16 05:42
75;17/4/16 06:11;983.348.000.000.000.000.000;1.104.968.280.000.000;-0.069675250000000;-80.365.867.609.999.800;11.270.454.409.999.900;3.830.058.890.000.000;43.000.000.000.000.000;39.000.000.000.000.000;41.000.000.000.000.000;37.000.000.000.000.000;0.833271660000000;251.376.647.899.999.000;2.579.699.040.000.000;0.252001020000000;1.956.906.560.000.000;17/4/16 06:11
76;17/4/16 06:41;370.288.000.000.000.000.000;1.067.672.930.000.000;-0.158451940000000;-80.455.459.590.000.000;6.498.311.040.000.000;3.764.186.810.000.000;56.000.000.000.000.000;56.000.000.000.000.000;56.000.000.000.000.000;56.000.000.000.000.000;0.988843730000000;251.845.375.100.000.000;4.854.003.430.000.000;0.269796730000000;2.227.286.340.000.000;17/4/16 06:41
77;17/4/16 06:43;201.236.000.000.000.000.000;0.777040970000000;-0.153426330000000;-80.345.054.630.000.000;3.498.316.050.000.000;3.636.603.380.000.000;53.000.000.000.000.000;53.000.000.000.000.000;53.000.000.000.000.000;53.000.000.000.000.000;0.893792560000000;213.449.357.999.998.000;4.830.248.830.000.000;0.177649800000000;2.014.548.540.000.000;17/4/16 06:43
78;17/4/16 06:49;139.585.000.000.000.000.000;0.777473900000000;-0.233340730000000;-80.332.550.049.999.800;9.373.762.129.999.990;3.786.524.000.000.000;61.000.000.000.000.000;60.000.000.000.000.000;61.000.000.000.000.000;60.000.000.000.000.000;1.180.916.800.000.000;224.920.276.599.999.000;4.750.254.630.000.000;0.128688920000000;2.006.149.770.000.000;17/4/16 06:49
79;17/4/16 07:08;463.939.000.000.000.000.000;1.154.146.600.000.000;-0.295095090000000;-80.166.557.310.000.000;8.651.925.090.000.000;3.831.675.700.000.000;42.000.000.000.000.000;42.000.000.000.000.000;42.000.000.000.000.000;42.000.000.000.000.000;0.998245400000000;242.821.689.600.000.000;4.651.690.480.000.000;0.329735850000000;1.958.402.870.000.000;17/4/16 07:08
80;17/4/16 07:13;845.202.000.000.000.000.000;0.348402780000000;-0.399663960000000;-80.401.313.779.999.800;7.942.527.290.000.000;6.074.593.520.000.000;123.000.000.000.000.000;114.000.000.000.000.000;118.000.000.000.000.000;110.000.000.000.000.000;0.928446910000000;175.260.141.400.000.000;3.968.760.730.000.000;0.233072390000000;2.121.164.560.000.000;17/4/16 07:13
81;17/4/16 07:57;889.793.000.000.000.000.000;0.515559510000000;-0.455334780000000;-80.339.935.299.999.800;6.708.037.850.000.000;4.180.347.420.000.000;90.000.000.000.000.000;86.000.000.000.000.000;87.000.000.000.000.000;83.000.000.000.000.000;0.917682060000000;199.543.693.499.998.000;3.030.228.610.000.000;0.227952810000000;1.980.392.220.000.000;17/4/16 07:57
82;17/4/16 08:12;649.702.000.000.000.000.000;0.786380820000000;0.645528670000000;-80.073.402.400.000.000;5.000.000.000.000.000;3.766.535.760.000.000;16.000.000.000.000.000;15.000.000.000.000.000;9.000.000.000.000.000;8.000.000.000.000.000;0.522805030000000;277.180.450.399.999.000;2.138.222.690.000.000;0.978343840000000;1.690.639.260.000.000;17/4/16 08:12
83;17/4/16 08:12;10.295.000.000.000.000.000;0.659969240000000;0.559274320000000;-79.864.967.350.000.000;0.378379790000000;3.710.926.780.000.000;65.000.000.000.000.000;65.000.000.000.000.000;65.000.000.000.000.000;65.000.000.000.000.000;0.899155560000000;202.041.915.899.999.000;3.931.812.520.000.000;0.333684210000000;1.890.498.160.000.000;17/4/16 08:12
84;17/4/16 08:45;982.651.000.000.000.000.000;0.727626270000000;-0.186175730000000;-80.577.713.009.999.800;6.480.337.620.000.000;4.234.526.940.000.000;92.000.000.000.000.000;85.000.000.000.000.000;90.000.000.000.000.000;83.000.000.000.000.000;0.762626950000000;225.856.220.200.000.000;4.202.023.510.000.000;0.378010330000000;2.247.686.860.000.000;17/4/16 08:45
85;17/4/16 08:52;69.465.000.000.000.000.000;0.865876800000000;-0.164824770000000;-80.578.323.359.999.800;10.906.127.930.000.000;4.478.078.220.000.000;86.000.000.000.000.000;82.000.000.000.000.000;86.000.000.000.000.000;82.000.000.000.000.000;0.849355370000000;223.593.486.799.999.000;3.624.214.650.000.000;0.383709670000000;2.291.793.820.000.000;17/4/16 08:52
86;17/4/16 09:01;840.720.000.000.000.000.000;0.762136530000000;0.594718040000000;-80.125.572.199.999.800;5.095.264.910.000.000;4.089.072.920.000.000;78.000.000.000.000.000;78.000.000.000.000.000;78.000.000.000.000.000;78.000.000.000.000.000;0.932799070000000;217.522.670.699.999.000;2.685.041.430.000.000;0.365148870000000;2.097.770.690.000.000;17/4/16 09:01
87;17/4/16 09:23;821.496.000.000.000.000.000;0.758238800000000;-0.118933000000000;-80.802.070.619.999.800;6.745.510.580.000.000;5.673.357.690.000.000;108.000.000.000.000.000;101.000.000.000.000.000;105.000.000.000.000.000;99.000.000.000.000.000;0.910915790000000;224.630.413.100.000.000;4.995.668.890.000.000;0.611712340000000;2.506.116.150.000.000;17/4/16 09:23
88;17/4/16 12:38;970.773.000.000.000.000.000;1.822.243.190.000.000;-0.071692880000000;-80.485.702.509.999.800;11.689.367.290.000.000;3.643.928.040.000.000;47.000.000.000.000.000;47.000.000.000.000.000;47.000.000.000.000.000;47.000.000.000.000.000;0.685798440000000;280.765.014.599.999.000;3.649.044.990.000.000;0.711371960000000;2.200.699.810.000.000;17/4/16 12:38
89;17/4/16 14:06;985.675.000.000.000.000.000;1.614.743.950.000.000;0.236447170000000;-80.311.233.520.000.000;10.560.938.840.000.000;3.591.031.470.000.000;37.000.000.000.000.000;37.000.000.000.000.000;36.000.000.000.000.000;36.000.000.000.000.000;0.730359030000000;258.687.137.600.000.000;2.724.508.520.000.000;0.753340720000000;2.083.829.640.000.000;17/4/16 14:06
90;17/4/16 17:15;858.559.000.000.000.000.000;1.190.717.500.000.000;-0.255285470000000;-80.866.806.030.000.000;8.552.405.360.000.000;5.174.773.910.000.000;73.000.000.000.000.000;73.000.000.000.000.000;72.000.000.000.000.000;72.000.000.000.000.000;0.948179390000000;245.285.221.100.000.000;3.415.111.300.000.000;0.658413470000000;2.529.783.010.000.000;17/4/16 17:15
91;17/4/16 20:24;472.358.000.000.000.000.000;0.681086140000000;0.675485610000000;-79.987.876.889.999.800;7.508.201.120.000.000;5.042.607.990.000.000;45.000.000.000.000.000;44.000.000.000.000.000;42.000.000.000.000.000;41.000.000.000.000.000;0.735790250000000;233.704.406.699.999.000;2.058.848.620.000.000;0.368269830000000;1.682.509.780.000.000;17/4/16 20:24
92;17/4/16 21:35;451.110.000.000.000.000.000;0.221914650000000;-0.911198790000000;-80.560.867.310.000.000;10.000.000.000.000.000;6.462.121.820.000.000;101.000.000.000.000.000;66.000.000.000.000.000;100.000.000.000.000.000;65.000.000.000.000.000;0.749330930000000;124.160.574.000.000.000;2.780.026.670.000.000;0.176154510000000;2.096.736.430.000.000;17/4/16 21:35
93;17/4/16 22:21;28.362.000.000.000.000.000;0.559279470000000;-0.261144400000000;-81.035.743.710.000.000;10.000.000.000.000.000;4.386.697.670.000.000;76.000.000.000.000.000;73.000.000.000.000.000;73.000.000.000.000.000;70.000.000.000.000.000;0.931968650000000;251.308.330.500.000.000;3.577.027.800.000.000;0.739316520000000;2.689.676.050.000.000;17/4/16 22:21
94;17/4/16 23:44;685.126.000.000.000.000.000;0.564041150000000;-0.049731170000000;-80.845.962.520.000.000;10.000.000.000.000.000;4.301.131.850.000.000;65.000.000.000.000.000;60.000.000.000.000.000;63.000.000.000.000.000;58.000.000.000.000.000;0.730860030000000;243.458.068.800.000.000;3.322.093.010.000.000;0.673262600000000;2.481.190.920.000.000;17/4/16 23:44
95;18/4/16 02:09;34.441.000.000.000.000.000;0.504596830000000;-0.701932070000000;-81.078.239.440.000.000;5.000.000.000.000.000;4.118.582.280.000.000;69.000.000.000.000.000;68.000.000.000.000.000;64.000.000.000.000.000;63.000.000.000.000.000;0.961732430000000;259.492.179.900.000.000;3.812.344.550.000.000;0.417649420000000;2.651.206.970.000.000;18/4/16 02:09
96;18/4/16 05:05;82.077.000.000.000.000.000;1.087.217.390.000.000;-0.143223060000000;-80.556.259.159.999.800;8.000.000.000.000.000;4.334.506.700.000.000;58.000.000.000.000.000;57.000.000.000.000.000;57.000.000.000.000.000;57.000.000.000.000.000;0.895790440000000;244.744.251.300.000.000;3.083.904.510.000.000;0.369123220000000;2.177.629.230.000.000;18/4/16 05:05
97;18/4/16 06:16;389.169.000.000.000.000.000;0.875728200000000;0.492882700000000;-80.142.318.730.000.000;6.280.257.700.000.000;3.648.132.080.000.000;57.000.000.000.000.000;55.000.000.000.000.000;53.000.000.000.000.000;53.000.000.000.000.000;0.849549810000000;218.585.594.200.000.000;2.612.832.310.000.000;0.605885860000000;1.995.414.140.000.000;18/4/16 06:16
98;18/4/16 07:42;787.665.000.000.000.000.000;0.861276220000000;0.520044210000000;-80.240.203.859.999.800;10.197.577.480.000.000;3.583.502.470.000.000;32.000.000.000.000.000;30.000.000.000.000.000;29.000.000.000.000.000;27.000.000.000.000.000;0.757375740000000;268.055.259.700.000.000;2.583.057.640.000.000;0.659931240000000;1.986.149.310.000.000;18/4/16 07:42
99;18/4/16 08:15;503.492.000.000.000.000.000;0.577035060000000;0.464391590000000;-79.932.998.659.999.800;6.219.503.880.000.000;3.674.114.100.000.000;66.000.000.000.000.000;63.000.000.000.000.000;62.000.000.000.000.000;60.000.000.000.000.000;0.909359570000000;203.796.035.800.000.000;4.801.889.420.000.000;0.479643290000000;1.835.701.940.000.000;18/4/16 08:15
100;18/4/16 08:55;385.974.000.000.000.000.000;0.774438540000000;0.649176000000000;-80.142.257.689.999.800;3.831.797.360.000.000;3.772.942.610.000.000;67.000.000.000.000.000;64.000.000.000.000.000;63.000.000.000.000.000;61.000.000.000.000.000;0.922830790000000;231.667.060.900.000.000;2.854.432.580.000.000;0.504870710000000;2.090.107.680.000.000;18/4/16 08:55
101;18/4/16 09:13;304.309.000.000.000.000.000;0.771590330000000;0.634410260000000;-80.159.919.740.000.000;3.022.797.820.000.000;4.433.559.220.000.000;79.000.000.000.000.000;76.000.000.000.000.000;75.000.000.000.000.000;73.000.000.000.000.000;0.830794740000000;232.483.173.400.000.000;4.155.343.530.000.000;0.527725400000000;2.118.488.310.000.000;18/4/16 09:13
102;18/4/16 10:29;646.413.000.000.000.000.000;0.688585180000000;-0.052544720000000;-80.283.393.860.000.000;5.379.469.870.000.000;5.202.149.260.000.000;82.000.000.000.000.000;76.000.000.000.000.000;82.000.000.000.000.000;76.000.000.000.000.000;0.871715580000000;211.928.182.600.000.000;3.478.677.270.000.000;0.226578400000000;2.060.135.600.000.000;18/4/16 10:29
103;18/4/16 12:09;99.795.000.000.000.000.000;1.051.404.350.000.000;-0.849038720000000;-80.912.155.150.000.000;5.000.000.000.000.000;4.176.627.620.000.000;40.000.000.000.000.000;40.000.000.000.000.000;40.000.000.000.000.000;40.000.000.000.000.000;0.889063480000000;253.331.703.199.999.000;4.361.359.600.000.000;1.175.625.800.000.000;2.559.291.360.000.000;18/4/16 12:09
104;18/4/16 12:17;878.201.000.000.000.000.000;0.854384410000000;0.586573240000000;-80.056.869.509.999.800;3.111.699.340.000.000;3.701.384.110.000.000;40.000.000.000.000.000;40.000.000.000.000.000;39.000.000.000.000.000;39.000.000.000.000.000;0.693379770000000;213.734.638.200.000.000;2.530.553.580.000.000;0.479572210000000;1.903.406.380.000.000;18/4/16 12:17
105;18/4/16 13:25;110.159.000.000.000.000.000;0.707136540000000;-0.247874900000000;-80.423.156.739.999.800;9.118.825.910.000.000;5.087.143.000.000.000;65.000.000.000.000.000;65.000.000.000.000.000;63.000.000.000.000.000;63.000.000.000.000.000;1.106.294.180.000.000;216.098.693.800.000.000;4.759.765.150.000.000;0.215564120000000;2.106.765.750.000.000;18/4/16 13:25
106;18/4/16 13:35;603.683.000.000.000.000.000;1.550.629.420.000.000;-0.184508120000000;-80.264.976.500.000.000;7.880.465.510.000.000;4.192.816.630.000.000;33.000.000.000.000.000;29.000.000.000.000.000;32.000.000.000.000.000;28.000.000.000.000.000;0.899874160000000;254.837.825.799.999.000;2.236.461.400.000.000;0.100194930000000;1.774.648.190.000.000;18/4/16 13:35
107;18/4/16 14:59;198.026.000.000.000.000.000;1.046.952.940.000.000;-0.029015360000000;-80.220.413.210.000.000;6.284.852.500.000.000;3.581.285.630.000.000;36.000.000.000.000.000;36.000.000.000.000.000;35.000.000.000.000.000;35.000.000.000.000.000;0.871002160000000;227.373.252.900.000.000;2.445.975.060.000.000;0.237514690000000;1.863.472.940.000.000;18/4/16 14:59
108;18/4/16 15:48;181.058.000.000.000.000.000;1.308.985.050.000.000;-0.807971000000000;-80.830.093.379.999.800;5.000.000.000.000.000;3.809.880.950.000.000;15.000.000.000.000.000;13.000.000.000.000.000;13.000.000.000.000.000;11.000.000.000.000.000;0.936102170000000;265.088.596.300.000.000;2.449.434.280.000.000;0.162960630000000;2.075.372.220.000.000;18/4/16 15:48
109;18/4/16 17:07;225.870.000.000.000.000.000;1.275.035.110.000.000;-0.168471740000000;-80.241.149.899.999.800;6.577.457.910.000.000;4.519.824.120.000.000;52.000.000.000.000.000;52.000.000.000.000.000;52.000.000.000.000.000;52.000.000.000.000.000;0.874241260000000;256.254.051.199.999.000;2.809.193.850.000.000;0.103952360000000;1.951.630.590.000.000;18/4/16 17:07
110;18/4/16 18:38;315.715.000.000.000.000.000;0.829683960000000;-0.930309240000000;-80.990.379.329.999.800;0.960553470000000;5.639.573.970.000.000;95.000.000.000.000.000;94.000.000.000.000.000;91.000.000.000.000.000;90.000.000.000.000.000;1.304.856.640.000.000;231.179.798.100.000.000;3.811.338.660.000.000;0.256003320000000;2.599.456.310.000.000;18/4/16 18:38
111;18/4/16 21:46;978.952.000.000.000.000.000;0.424257980000000;-0.007665180000000;-80.100.730.900.000.000;10.000.000.000.000.000;3.843.292.340.000.000;61.000.000.000.000.000;61.000.000.000.000.000;59.000.000.000.000.000;59.000.000.000.000.000;1.222.450.020.000.000;179.257.873.499.998.000;3.516.689.540.000.000;0.279995410000000;1.884.569.170.000.000;18/4/16 21:46
112;19/4/16 01:43;959.507.000.000.000.000.000;0.558328230000000;-0.752660990000000;-81.034.263.609.999.800;10.000.000.000.000.000;3.858.325.790.000.000;59.000.000.000.000.000;49.000.000.000.000.000;55.000.000.000.000.000;45.000.000.000.000.000;1.102.793.950.000.000;256.444.080.400.000.000;4.498.874.190.000.000;0.955901090000000;2.644.684.790.000.000;19/4/16 01:43
113;19/4/16 02:03;358.271.000.000.000.000.000;1.497.095.320.000.000;-0.047940030000000;-80.764.366.150.000.000;10.001.800.540.000.000;3.996.810.210.000.000;78.000.000.000.000.000;68.000.000.000.000.000;77.000.000.000.000.000;67.000.000.000.000.000;0.750193270000000;261.568.069.499.999.000;5.050.066.950.000.000;0.597232580000000;2.550.127.980.000.000;19/4/16 02:03
114;19/4/16 03:57;623.732.000.000.000.000.000;1.513.102.840.000.000;-0.009059210000000;-80.803.092.960.000.000;5.976.943.970.000.000;3.977.770.550.000.000;57.000.000.000.000.000;48.000.000.000.000.000;56.000.000.000.000.000;47.000.000.000.000.000;0.898879330000000;287.305.870.099.999.000;3.881.117.110.000.000;0.647767310000000;2.491.301.300.000.000;19/4/16 03:57
115;19/4/16 07:24;387.616.000.000.000.000.000;0.658375590000000;-1.144.766.690.000.000;-81.272.109.990.000.000;15.000.000.000.000.000;3.584.536.770.000.000;56.000.000.000.000.000;38.000.000.000.000.000;49.000.000.000.000.000;34.000.000.000.000.000;0.807545810000000;261.328.990.900.000.000;3.927.867.890.000.000;1.629.268.760.000.000;2.845.280.170.000.000;19/4/16 07:24
116;19/4/16 07:44;894.816.000.000.000.000.000;0.734493160000000;-0.151268080000000;-80.820.205.689.999.800;7.523.666.380.000.000;4.003.126.220.000.000;51.000.000.000.000.000;46.000.000.000.000.000;47.000.000.000.000.000;42.000.000.000.000.000;0.659460630000000;261.740.531.900.000.000;4.971.444.130.000.000;0.622558950000000;2.476.995.950.000.000;19/4/16 07:44
117;19/4/16 09:01;771.735.000.000.000.000.000;0.561344810000000;-1.104.953.530.000.000;-80.948.120.119.999.800;10.000.000.000.000.000;3.659.675.500.000.000;66.000.000.000.000.000;57.000.000.000.000.000;61.000.000.000.000.000;54.000.000.000.000.000;0.801344110000000;241.580.810.500.000.000;4.145.616.530.000.000;1.112.821.940.000.000;2.528.579.240.000.000;19/4/16 09:01
118;19/4/16 10:01;666.727.000.000.000.000.000;0.671664540000000;-1.093.641.520.000.000;-81.094.650.270.000.000;10.000.000.000.000.000;4.169.858.750.000.000;57.000.000.000.000.000;53.000.000.000.000.000;55.000.000.000.000.000;52.000.000.000.000.000;1.038.740.180.000.000;250.036.758.400.000.000;4.221.226.210.000.000;1.207.476.730.000.000;2.687.672.140.000.000;19/4/16 10:01
119;19/4/16 10:05;667.269.000.000.000.000.000;0.736640280000000;0.574290690000000;-79.908.126.830.000.000;7.339.256.760.000.000;3.891.066.280.000.000;61.000.000.000.000.000;48.000.000.000.000.000;60.000.000.000.000.000;47.000.000.000.000.000;1.082.917.450.000.000;211.199.319.800.000.000;2.617.459.300.000.000;0.402291630000000;1.847.822.190.000.000;19/4/16 10:05
120;19/4/16 12:42;625.716.000.000.000.000.000;0.667488550000000;0.663054290000000;-80.348.205.570.000.000;10.000.000.000.000.000;3.850.145.350.000.000;46.000.000.000.000.000;33.000.000.000.000.000;42.000.000.000.000.000;30.000.000.000.000.000;0.920944700000000;287.774.818.400.000.000;2.849.586.490.000.000;1.132.712.840.000.000;2.295.228.720.000.000;19/4/16 12:42
121;19/4/16 13:38;385.401.000.000.000.000.000;0.410357270000000;-0.287866770000000;-80.161.956.790.000.000;3.787.928.820.000.000;4.004.908.480.000.000;68.000.000.000.000.000;51.000.000.000.000.000;68.000.000.000.000.000;51.000.000.000.000.000;1.081.138.340.000.000;125.744.018.600.000.000;4.657.690.520.000.000;0.050622940000000;1.793.607.120.000.000;19/4/16 13:38
122;19/4/16 16:19;253.806.000.000.000.000.000;1.572.115.040.000.000;-0.272500100000000;-80.546.531.680.000.000;5.192.978.860.000.000;3.770.531.470.000.000;49.000.000.000.000.000;49.000.000.000.000.000;47.000.000.000.000.000;47.000.000.000.000.000;1.005.990.680.000.000;299.034.370.400.000.000;3.129.258.870.000.000;0.338056090000000;2.184.862.140.000.000;19/4/16 16:19
123;19/4/16 17:12;42.918.000.000.000.000.000;1.577.121.680.000.000;-1.162.138.220.000.000;-81.242.477.420.000.000;1.930.817.250.000.000;5.131.373.230.000.000;79.000.000.000.000.000;68.000.000.000.000.000;74.000.000.000.000.000;66.000.000.000.000.000;0.903197380000000;251.299.778.000.000.000;4.232.062.340.000.000;1.363.097.310.000.000;2.865.336.900.000.000;19/4/16 17:12
124;19/4/16 17:37;641.049.000.000.000.000.000;0.851629520000000;-1.059.389.110.000.000;-81.026.420.590.000.000;5.000.000.000.000.000;3.531.648.650.000.000;31.000.000.000.000.000;22.000.000.000.000.000;29.000.000.000.000.000;20.000.000.000.000.000;0.711725870000000;244.149.620.099.999.000;3.458.182.570.000.000;1.134.502.650.000.000;2.562.633.990.000.000;19/4/16 17:37
125;19/4/16 20:44;488.606.000.000.000.000.000;1.643.342.960.000.000;-1.078.273.530.000.000;-81.030.601.500.000.000;2.027.882.100.000.000;4.369.316.920.000.000;49.000.000.000.000.000;47.000.000.000.000.000;47.000.000.000.000.000;46.000.000.000.000.000;0.843207630000000;250.212.665.600.000.000;3.290.170.910.000.000;1.150.564.310.000.000;2.598.179.340.000.000;19/4/16 20:44
126;19/4/16 22:22;483.344.000.000.000.000.000;0.848559410000000;0.566752260000000;-80.074.913.019.999.800;5.374.181.750.000.000;5.732.133.520.000.000;80.000.000.000.000.000;41.000.000.000.000.000;78.000.000.000.000.000;40.000.000.000.000.000;0.549964120000000;214.638.400.999.998.000;2.467.059.370.000.000;0.506270230000000;1.728.560.690.000.000;19/4/16 22:22
127;19/4/16 23:11;924.215.000.000.000.000.000;0.893599010000000;0.587590580000000;-80.074.661.250.000.000;8.875.617.030.000.000;3.866.376.090.000.000;57.000.000.000.000.000;43.000.000.000.000.000;56.000.000.000.000.000;42.000.000.000.000.000;0.719181330000000;216.490.535.700.000.000;2.484.590.050.000.000;0.491358220000000;1.752.825.970.000.000;19/4/16 23:11
128;19/4/16 23:37;864.343.000.000.000.000.000;1.011.934.710.000.000;0.598552410000000;-79.990.730.290.000.000;3.515.273.330.000.000;3.716.270.140.000.000;47.000.000.000.000.000;47.000.000.000.000.000;47.000.000.000.000.000;47.000.000.000.000.000;0.869601620000000;227.428.314.199.998.000;2.558.189.150.000.000;0.426988570000000;1.932.624.100.000.000;19/4/16 23:37
129;20/4/16 01:30;108.445.000.000.000.000.000;1.072.816.250.000.000;0.181402890000000;-80.352.142.330.000.000;5.354.625.230.000.000;3.885.674.450.000.000;58.000.000.000.000.000;58.000.000.000.000.000;57.000.000.000.000.000;57.000.000.000.000.000;0.835884720000000;237.831.272.100.000.000;2.835.245.850.000.000;0.468774110000000;2.131.585.840.000.000;20/4/16 01:30
130;20/4/16 01:48;539.633.000.000.000.000.000;0.694893610000000;0.555593430000000;-79.914.253.230.000.000;6.299.366.470.000.000;4.092.199.200.000.000;59.000.000.000.000.000;59.000.000.000.000.000;58.000.000.000.000.000;58.000.000.000.000.000;0.986957280000000;211.255.565.600.000.000;2.516.883.140.000.000;0.381933930000000;1.926.282.640.000.000;20/4/16 01:48
131;20/4/16 01:49;185.117.000.000.000.000.000;0.921267940000000;0.648302200000000;-80.054.260.249.999.800;3.736.510.990.000.000;4.229.946.520.000.000;57.000.000.000.000.000;57.000.000.000.000.000;56.000.000.000.000.000;56.000.000.000.000.000;0.879106490000000;241.174.232.499.998.000;2.683.073.520.000.000;0.435454670000000;2.088.426.350.000.000;20/4/16 01:49
132;20/4/16 02:27;451.622.000.000.000.000.000;0.669531080000000;0.534670710000000;-79.903.442.380.000.000;5.098.915.580.000.000;3.815.490.900.000.000;60.000.000.000.000.000;60.000.000.000.000.000;59.000.000.000.000.000;59.000.000.000.000.000;0.909461520000000;208.165.977.500.000.000;2.493.680.240.000.000;0.377929360000000;1.856.902.480.000.000;20/4/16 02:27
133;20/4/16 04:38;855.658.000.000.000.000.000;1.002.536.540.000.000;-1.255.561.470.000.000;-81.025.772.090.000.000;10.000.000.000.000.000;3.912.366.360.000.000;59.000.000.000.000.000;49.000.000.000.000.000;58.000.000.000.000.000;48.000.000.000.000.000;0.945107210000000;245.858.478.499.998.000;3.273.218.390.000.000;1.481.648.210.000.000;2.632.291.320.000.000;20/4/16 04:38
134;20/4/16 08:35;578.984.000.000.000.000.000;0.637093110000000;0.670573060000000;-80.245.956.419.999.800;9.281.775.470.000.000;6.222.341.600.000.000;33.000.000.000.000.000;33.000.000.000.000.000;27.000.000.000.000.000;27.000.000.000.000.000;1.066.414.990.000.000;245.591.304.799.998.000;2.332.902.670.000.000;0.583667220000000;1.858.990.190.000.000;20/4/16 08:35
135;20/4/16 08:40;303.908.000.000.000.000.000;0.861798530000000;0.513533710000000;-79.771.034.240.000.000;5.092.587.470.000.000;4.421.615.860.000.000;32.000.000.000.000.000;32.000.000.000.000.000;31.000.000.000.000.000;31.000.000.000.000.000;1.145.065.050.000.000;229.301.085.900.000.000;1.845.641.490.000.000;0.267700850000000;1.425.276.400.000.000;20/4/16 08:40
136;20/4/16 08:46;881.105.000.000.000.000.000;0.736078360000000;0.643008470000000;-80.139.244.079.999.800;10.000.000.000.000.000;4.758.963.850.000.000;67.000.000.000.000.000;62.000.000.000.000.000;65.000.000.000.000.000;60.000.000.000.000.000;1.170.147.590.000.000;255.696.205.099.998.000;2.656.108.140.000.000;0.592560830000000;2.107.498.880.000.000;20/4/16 08:46
137;20/4/16 08:50;776.856.000.000.000.000.000;0.905013820000000;0.552623450000000;-79.942.466.740.000.000;5.222.479.820.000.000;4.303.767.570.000.000;38.000.000.000.000.000;38.000.000.000.000.000;37.000.000.000.000.000;37.000.000.000.000.000;0.868282870000000;216.168.592.499.998.000;2.017.811.060.000.000;0.409903910000000;1.613.471.990.000.000;20/4/16 08:50
138;20/4/16 08:53;636.850.000.000.000.000.000;0.727426080000000;0.596941230000000;-79.946.479.800.000.000;4.790.981.770.000.000;4.465.634.190.000.000;69.000.000.000.000.000;69.000.000.000.000.000;68.000.000.000.000.000;68.000.000.000.000.000;0.876981560000000;213.398.330.700.000.000;5.483.169.560.000.000;0.402232470000000;1.973.918.800.000.000;20/4/16 08:53
139;20/4/16 08:56;312.605.000.000.000.000.000;1.030.986.520.000.000;0.509736960000000;-79.963.813.779.999.800;7.160.219.670.000.000;4.430.503.650.000.000;36.000.000.000.000.000;36.000.000.000.000.000;35.000.000.000.000.000;35.000.000.000.000.000;1.012.609.580.000.000;217.554.752.299.999.000;2.390.351.060.000.000;0.485183660000000;1.862.856.860.000.000;20/4/16 08:56
140;20/4/16 09:35;569.139.000.000.000.000.000;0.525372900000000;-0.020566340000000;-80.161.933.899.999.800;3.934.739.350.000.000;4.378.633.330.000.000;79.000.000.000.000.000;75.000.000.000.000.000;77.000.000.000.000.000;73.000.000.000.000.000;0.904410150000000;194.012.510.300.000.000;2.928.392.650.000.000;0.249984410000000;1.952.448.610.000.000;20/4/16 09:35
141;20/4/16 09:59;60.818.000.000.000.000.000;1.121.942.600.000.000;0.618473410000000;-80.052.284.240.000.000;1.507.019.880.000.000;3.886.252.200.000.000;51.000.000.000.000.000;51.000.000.000.000.000;51.000.000.000.000.000;51.000.000.000.000.000;0.875273070000000;238.421.291.400.000.000;2.648.801.800.000.000;0.453933060000000;2.052.463.290.000.000;20/4/16 09:59
